german,spanish,chapter,box
die Bedingung,la condición,1,2
"der Guide, Handbuch",la guía,1,2
kurz,brevemente,1,2
mehrere,varios,1,1
übereinstimmen,coincidir,1,1
versuchen,tratar de,1,1
bereichern,enriquecer,1,1
Notizen machen,tomar notas,1,2
faul,perezoso,1,1
der Eindruck,la impresión,1,1
"sich fühlen, sich treffen, sich befinden",encontrarse,1,1
engagiert,comprometido,1,2
"geeignet, angemessen",apropiado,1,1
etwas leiten,dirigir algo,1,1
das Mitglied,el socio,1,1
der Straßengraben,la cuneta,1,1
"leiten, besorgen, betreiben",gestionar,1,2
"gelgentlich, hin und wieder",de vez en cuando,1,1
der Schrecken,el susto,1,1
der Krankenpfleger,el enfermero,1,1
das Erlebnis,la vivencia,1,1
"gerecht, fair, gleichberechtigt",equitativo,1,1
unterkommen,alojarse,1,1
kommandieren,estar al mando,1,2
"sich trauen, wagen",atreverse,2,1
"verfügen, anordnen",disponer,2,1
die Maßnahme,la medida,2,1
"das Meeting, das Treffen",la reunión,2,1
"genügen, ausreichen",bastar,2,1
sich beschweren,quejarse,2,1
Nichzahlung,el impago,2,1
die Befragung,la encuesta,2,1
"die Einberufung, der Aufruf",la convocatoria,2,1
fordern,exigir,2,1
"erreichbar, erschwinglich",asequible,2,1
"beschädigen, zerstören",estropear,2,1
der Zwischenfall,el contratiempo,2,1
"drücken, anschlagen",pulsar,2,1
das Gemeinschaftseigentum,el condominio,2,1
überschreiten,traspasar,2,1
das Rätsel,el enigma,2,1
"stören, behindern",estorbar,2,1
die Entschädigung,la indemnización,2,1
der Beauftragte,el encargado,2,1
überwachen,vigilar,2,1
"ärgern, jmd verärgern, nervös machen",fastidiar,2,1
Lederhose,el pantalón de cuero,2,1
der Helm,el casco,2,1
das Grafiti,las pintadas,2,1
flüstern,cuchichear,2,1
"nett, freundlich",majo,2,1
nichts verstehen,no entender ni jota,1,1
schwanger,embarazada,1,1
Fähigkeiten,habilidad,1,1
"erreichen, verwirklichen",alcanzar,2,1
